country,district,location,latitude,longitude,period,An_merus,An_arabiensis,An_gambiae,An_quadriannulatus,indoor/outdoor,stage,collection_method,identification_method,region,article
Kenya,Kwale,Amani,-4.123529,39.284746,june 1997 to may 1998,1,10,196,0,indoor,adults,pyrethrum spray collection,"morphology, PCR",East_Africa,"mbogo et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,Mar-03,14,2,0,0,indoor,adults,indoor human landing,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,Mar-03,6,1,0,0,outdoor,adults,outdoor human landing,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,Mar-03,4,0,0,0,indoor,adults,indoor resting,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,Mar-03,11,12,0,0,,aquatic stages,larvae collections,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,Mar-03,8,2,1,0,,adults,cdc light trap,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,February to September 1996,10,11,0,0,indoor,adults,indoor human landing,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,February to September 1996,9,7,0,0,outdoor,adults,outdoor human landing,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,February to September 1996,5,0,0,0,indoor,adults,indoor resting,PCR,Southern_Africa,"Leong et al., 2003"
Madagascar,Tsihombe,Ankiliefatra,-25.3204,45.833333,February to September 1996,5,3,0,0,,adults,cdc light trap,PCR,Southern_Africa,"Leong et al., 2003"
South_Africa,Tonga,Block c,-25.660556,31.858056,August1997 to May1998,10,16,0,10,indoor/outdoor,adults,"mosquito landing catches, pyrethrum knockdown catches",PCR,Southern_Africa,"Govere et al., 2000"
South_Africa,Ehlanzeni,Bushbuckridge,-24.839842,31.04641,2005- 2017,56,1,0,324,,adult/larvae,,PCR,Southern_Africa,"Mbokazi et al., 2018"
Tanzania,Tanga,Buiko,-4.65,38.05,apr-1982 to jan-1985,7,907,37,0,indoor,adults,"psc, hand catches","cytotaxonomy,isoenzyme electrophoresis",East_Africa,"mnzava et al., 1986"
Zambia,Chongwe,Chalimbana,-15.4,28.7,Mar-95,1,5,0,0,,larvae,larvae collections,PCR,Southern_Africa,"kloke et al., 1997"
Tanzania,Dar_es_salaam,Changombe,-6.833,39.267,1947- 1948,533,0,453,0,indoor,adult,,salt tolerance,East_Africa,"Muirhead et al., 1951"
Mozambique,Boane,Chindjiguire,-23.94222,35.028889,02/02/2002,1,20,40,0,indoor,adult,HBI,"morphology, PCR",Southern_Africa,"Cuamba et al., 2009"
Mozambique,Boane,Combomune,-23.466389,32.465278,17/07/2001,1,35,0,20,outdoor,larvae,LAR,"morphology, PCR",Southern_Africa,"Cuamba et al., 2009"
Kenya,Kilifi,Dindiri,-3.733333,39.8,june 1997 to may 1998,3,2,110,0,indoor,adults,pyrethrum spray collection,"morphology, PCR",East_Africa,"mbogo et al., 2003"
Mauritius,Drain Marie,Drain Marie,-20.143056,57.491667,1963,3,0,10,0,outdoor,adults,,salt tolerance,Southern_Africa,"Patterson et al., 1963"
